"entidad","periodo","C110_Disponibilidades","C120_Inversiones","C130_Creditos","C139_Estimaciones","C140_CuentasxCobrar","C150_BienesVenta","C160_PartEmpresas","C170_PropiedadesEquipo","C180_OtrosActivos","C210_OblPublico","C220_OblBCCR","C230_OblEntidades","C240_CuentasxPagar","C250_OtrosPasivos","C260_ObligSubord","C310_CapitalSocial","C330_AjusOtrosResultados","C320_AportNoCap","C340_Reservas","C350_ResultadosAcum"
"CMB",2017-10-01,46355301069.43,189172912192.69,50859376509.12,-2032459457.66,647441215.89,0,0,808998328.22,1848712139.25,250118856242.68,2571951133.46,5699040126.95,4619909157.17,354471224.75,0,19843600000,-1034482089.95,0,1012676468.72,666972279.49
"CMB",2017-11-01,75609499293,184691326409.18,52615423168.23,-1801403901.71,595745396.29,0,0,794504091.65,2067503010.15,251565014949.85,8802988984.88,22955719443.03,5220043908.48,432480325.99,0,19843600000,-1017463655.35,0,1012676468.72,666972279.49
"CMB",2017-12-01,55614806860.12,180199702301.15,50030164358.69,-1557010435.22,582325296.6,0,0,789037000.45,2387921602.5,245070964800.46,3302284541.08,6939417830.52,5586187985.88,499152141.8,0,19843600000,-1147441800.85,0,1012676468.72,666972279.49
"CMB",2018-01-01,86743431517.14,184454221439.19,53163854740.2,-1664177229.79,635684985.35,0,0,772113026.13,2421127513.03,279687549116.06,7426994873.72,6637840342.01,5466573434.71,236000864.35,0,19843600000,-1270881278.92,0,1438979192.05,8070812728.57
"CMB",2018-02-01,93944803604.14,194678635822,52383763097.44,-1662703544.77,674506940.27,0,0,755796326.44,2325669819.81,296262221213.41,5477326684.33,5364809597.32,6408444404.79,342147256.58,0,19843600000,-1267546845.3,0,1438979192.05,8070812728.57
"CMB",2018-03-01,67503868672.34,202200627819.89,45370481087.57,-1411197881.97,658322215.13,0,0,738875206.62,774808993.22,260388785460.9,2572561282.74,18186110903.1,3883831690.78,220460431.27,0,19843600000,-1241575420.97,0,1438979192.05,8070812728.57
"CMB",2018-04-01,71322082084.53,202531167398.18,54102398911.72,-1734192290.59,661524481.05,0,0,721954086.8,1010436027.14,284713085692.13,2887968795.82,5297580727.45,4309065551.16,364020365.13,0,19843600000,-1203810860.32,0,1438979192.05,8070812728.57
"CMB",2018-05-01,87071636723.87,199642765927.59,54648232687.18,-1795564440.9,734402742.54,0,0,709150888.73,851165094.63,288128612171.58,3795875113.8,12475803382.13,4348285977.85,206906027.9,0,19843600000,-1004679892.47,0,1438979192.05,8070812728.57
"CMB",2018-06-01,66418188970.84,203507867496.23,58202086011.45,-1939229439.22,483923512.11,0,0,692135889.8,1712728447.99,281696833010.57,500166666.67,7602917976.05,4904202327.23,259053870.91,0,19843600000,-849333521.18,0,1438979192.05,8070812728.57
"CMB",2018-07-01,77389871643.42,216898259381.22,63093239316.98,-2041212603.32,456070912.29,0,0,675544693.4,1825126739.15,290588213612.71,14881302393.51,12353311255.05,5254960104.12,237047735.3,0,19843600000,-745515732.87,0,2193948999.81,8070812728.53
